Designator,Mid X,Mid Y,Rotation,Layer
1V/oct,137.9,-120.01,180.0,top
A1,168.91,-79.385,-90.0,top
Audio Out,142.574141,-61.023327,0.0,top
C1,137.16,-99.695,180.0,top
C10,156.21,-71.755,180.0,top
C2,139.7,-99.695,0.0,top
C3,147.32,-99.695,180.0,top
C4,149.86,-99.695,0.0,top
C5,168.91,-69.215,180.0,top
C6,147.32,-125.095,0.0,top
C7,152.4,-125.095,0.0,top
C8,161.29,-69.215,0.0,top
C9,156.17,-66.675,180.0,top
D1,160.02,-99.695,0.0,top
D2,167.64,-114.935,180.0,top
D3,137.16,-113.665,-90.0,top
J1,160.02,-132.715,-90.0,top
J4,167.64,-120.015,0.0,top
R1,137.16,-102.235,-90.0,top
R10,147.32,-83.185,-90.0,top
R11,142.24,-90.805,90.0,top
R12,147.32,-117.475,90.0,top
R13,154.94,-117.475,90.0,top
R14,167.64,-104.775,180.0,top
R15,160.02,-109.855,0.0,top
R16,129.54,-114.935,-90.0,top
R2,142.24,-102.235,-90.0,top
R3,147.32,-102.235,-90.0,top
R4,152.4,-102.235,-90.0,top
R5,142.24,-127.635,90.0,top
R6,160.02,-127.635,90.0,top
R7,153.67,-55.245,-90.0,top
R8,148.59,-55.245,-90.0,top
R9,148.59,-66.675,-90.0,top
RV1,131.338885,-66.692645,0.0,top
RV2,135.031308,-66.681745,0.0,top
RV3,138.667831,-66.698676,0.0,top
RV4,142.273219,-66.708219,0.0,top
U1,158.73,-55.255,0.0,top
U2,167.64,-125.095,180.0,top
